LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
50584-2,"Lactose challenge panel",-,Pt,"Exhl gas",Qn,,PANEL.CHAL,2.73,ACTIVE,1,Order,,,"Lactose challenge (hydrogen breath test) panel - Exhaled gas",,2.22,true,"Lactose challenge panel:-:Pt:Exhl gas:Qn:"
78515-4,"Lactose^15M post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.54,ACTIVE,1,Both,,mmol/L,"Lactose [Moles/volume] in Serum or Plasma --15 minutes post dose lactose PO",mmol/L,2.54,false,"Lactose^15M post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
40281-8,"Lactose^30M post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Lactose [Moles/volume] in Serum or Plasma --30 minutes post dose lactose PO",mmol/L,2.15,false,"Lactose^30M post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
41606-5,"Lactose^3H post dose lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mg/dL,"Lactose [Mass/volume] in Serum or Plasma --3 hours post dose lactose PO",mg/dL,2.16,false,"Lactose^3H post dose lactose PO:MCnc:Pt:Ser/Plas:Qn:"
78516-2,"Lactose^45M post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.54,ACTIVE,1,Observation,,mmol/L,"Lactose [Moles/volume] in Serum or Plasma --45 minutes post dose lactose PO",mmol/L,2.54,false,"Lactose^45M post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
17043-1,Lactose,MCnc,Pt,Urine,Qn,,CHEM,2.42,ACTIVE,1,Both,,g/L,"Lactose [Mass/volume] in Urine",g/L,1.0l,false,Lactose:MCnc:Pt:Urine:Qn:
2553-6,Lactose,PrThr,Pt,Urine,Ord,,CHEM,2.56,ACTIVE,1,Both,,,"Lactose [Presence] in Urine",,1.0,false,Lactose:PrThr:Pt:Urine:Ord:
40282-6,"Lactose^1H post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Lactose [Moles/volume] in Serum or Plasma --1 hour post dose lactose PO",mmol/L,2.15,false,"Lactose^1H post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
40284-2,"Lactose^2H post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Lactose [Moles/volume] in Serum or Plasma --2 hours post dose lactose PO",mmol/L,2.15,false,"Lactose^2H post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
1584-2,"Lactose^30M post 50 g lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Lactose [Mass/volume] in Serum or Plasma --30 minutes post 50 g lactose PO",mg/dL,1.0,false,"Lactose^30M post 50 g lactose PO:MCnc:Pt:Ser/Plas:Qn:"
19249-2,"Lactose^3H post 50 g lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mg/dL,"Lactose [Mass/volume] in Serum or Plasma --3 hours post 50 g lactose PO",mg/dL,1.0l,false,"Lactose^3H post 50 g lactose PO:MCnc:Pt:Ser/Plas:Qn:"
2554-4,Lactose,MRat,24H,Urine,Qn,,CHEM,2.42,ACTIVE,1,Both,,"mg/24 H","Lactose [Mass/time] in 24 hour Urine",mg/(24.h),1.0,false,Lactose:MRat:24H:Urine:Qn:
51598-1,Lactose,PrThr,Pt,Stool,Ord,,CHEM,2.56,ACTIVE,1,Both,,,"Lactose [Presence] in Stool",,2.24,false,Lactose:PrThr:Pt:Stool:Ord:
74803-8,"Lactose challenge",Imp,Pt,"Exhl gas",Nom,,CHAL,2.48,ACTIVE,1,Observation,,,"Lactose challenge (hydrogen breath test) [Interpretation] in Exhaled gas",,2.48,false,"Lactose challenge:Imp:Pt:Exhl gas:Nom:"
40283-4,"Lactose^1.5H post dose lactose PO",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Lactose [Moles/volume] in Serum or Plasma --1.5 hours post dose lactose PO",mmol/L,2.15,false,"Lactose^1.5H post dose lactose PO:SCnc:Pt:Ser/Plas:Qn:"
1582-6,"Lactose^1H post 50 g lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Lactose [Mass/volume] in Serum or Plasma --1 hour post 50 g lactose PO",mg/dL,1.0,false,"Lactose^1H post 50 g lactose PO:MCnc:Pt:Ser/Plas:Qn:"
1583-4,"Lactose^2H post 50 g lactose PO",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mg/dL,"Lactose [Mass/volume] in Serum or Plasma --2 hours post 50 g lactose PO",mg/dL,1.0,false,"Lactose^2H post 50 g lactose PO:MCnc:Pt:Ser/Plas:Qn:"
2552-8,Lactose,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Lactose [Mass/volume] in Serum or Plasma",mg/dL,1.0,false,Lactose:MCnc:Pt:Ser/Plas:Qn:
69555-1,"Lactose tolerance panel^dosage unspecified",MCnc,Pt,Ser/Plas,-,,PANEL.CHAL,2.73,ACTIVE,1,Order,,,"Lactose tolerance panel [Mass/volume] in Serum or Plasma",,2.40,true,"Lactose tolerance panel^dosage unspecified:MCnc:Pt:Ser/Plas:-:"
69554-4,"Lactose tolerance panel^dosage unspecified",SCnc,Pt,Ser/Plas,-,,PANEL.CHAL,2.40,ACTIVE,1,Order,,,"Lactose tolerance panel [Moles/volume] in Serum or Plasma",,2.40,true,"Lactose tolerance panel^dosage unspecified:SCnc:Pt:Ser/Plas:-:"
14806-4,Lactose.PO,Mass,Pt,Dose,Qn,,DRUGDOSE,2.73,ACTIVE,1,Observation,,g,"Lactose.PO [Mass] of Dose",g,1.0k,false,Lactose.PO:Mass:Pt:Dose:Qn:
56879-0,"Lactose Ab.IgE",ACnc,Pt,Ser,Qn,,ALLERGY,2.70,ACTIVE,1,Both,,kIU/L,"Lactose IgE Ab [Units/volume] in Serum",k[IU]/L,2.29,false,"Lactose Ab.IgE:ACnc:Pt:Ser:Qn:"
69553-6,"Lactose tolerance",Imp,Pt,Ser/Plas,Nar,,CHAL,2.73,ACTIVE,1,Observation,,,"Lactose tolerance [Interpretation] in Serum or Plasma Narrative",,2.40,false,"Lactose tolerance:Imp:Pt:Ser/Plas:Nar:"
81051-5,"Lactose intake",MRat,24H,^Patient,Qn,Estimated,NUTRITION&DIETETICS,2.56,ACTIVE,2,Observation,,"g/24 H","Lactose intake 24 hour Estimated",g/(24.h),2.56,false,"Lactose intake:MRat:24H:^Patient:Qn:Estimated"
81052-3,"Lactose intake",MRat,24H,^Patient,Qn,Measured,NUTRITION&DIETETICS,2.56,ACTIVE,2,Observation,,"g/24 H","Lactose intake 24 hour Measured",g/(24.h),2.56,false,"Lactose intake:MRat:24H:^Patient:Qn:Measured"
74349-2,"Lactose^post CFst",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.46,ACTIVE,1,Both,,mmol/L,"Lactose [Moles/volume] in Serum or Plasma --fasting",mmol/L,2.46,false,"Lactose^post CFst:SCnc:Pt:Ser/Plas:Qn:"
41605-7,"Lactose^pre CFst",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Lactose [Mass/volume] in Serum or Plasma --pre fast",mg/dL,2.16,false,"Lactose^pre CFst:MCnc:Pt:Ser/Plas:Qn:"
1585-9,"Lactose^pre 12H CFst",MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Both,,mg/dL,"Lactose [Mass/volume] in Serum or Plasma --pre 12 hour fast",mg/dL,1.0,false,"Lactose^pre 12H CFst:MCnc:Pt:Ser/Plas:Qn:"
49240-5,"Patient symptoms^pre dose lactose PO",Imp,Pt,^Patient,Nar,,CHAL,2.38,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] Narrative--pre dose lactose PO",,2.21,false,"Patient symptoms^pre dose lactose PO:Imp:Pt:^Patient:Nar:"
33483-9,"Patient symptoms^pre dose lactose PO",Imp,Pt,^Patient,Nom,,CHAL,2.12,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] --pre dose lactose PO",,2.09,false,"Patient symptoms^pre dose lactose PO:Imp:Pt:^Patient:Nom:"
33484-7,"Patient symptoms^30M post dose lactose PO",Imp,Pt,^Patient,Nom,,CHAL,2.12,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] --30 minutes post dose lactose PO",,2.09,false,"Patient symptoms^30M post dose lactose PO:Imp:Pt:^Patient:Nom:"
35136-1,"Patient symptoms^3H post dose lactose PO",Imp,Pt,^Patient,Nom,,CHAL,2.12,ACTIVE,1,Observation,,,"Patient symptoms [Interpretation] --3 hours post dose lactose PO",,2.11,false,"Patient symptoms^3H post dose lactose PO:Imp:Pt:^Patient:Nom:"
33497-9,"Methane/Expired gas^pre dose lactose PO",VFr,Pt,"Exhl gas",Qn,,CHAL,2.70,ACTIVE,1,Observation,,ppm,"Methane/Expired gas [Volume Fraction] in Exhaled gas --pre dose lactose PO",[ppm],2.09,false,"Methane/Expired gas^pre dose lactose PO:VFr:Pt:Exhl gas:Qn:"
