LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
41652-9,Glucose,MCnc,Pt,BldV,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Glucose [Mass/volume] in Venous blood",mg/dL,2.16,false,Glucose:MCnc:Pt:BldV:Qn:
39480-9,Glucose,SCnc,Pt,BldV,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Glucose [Moles/volume] in Venous blood",mmol/L,2.15,false,Glucose:SCnc:Pt:BldV:Qn:
15074-8,Glucose,SCnc,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Glucose [Moles/volume] in Blood",mmol/L,1.0k,false,Glucose:SCnc:Pt:Bld:Qn:
41651-1,Glucose,MCnc,Pt,BldA,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Glucose [Mass/volume] in Arterial blood",mg/dL,2.16,false,Glucose:MCnc:Pt:BldA:Qn:
39481-7,Glucose,SCnc,Pt,BldA,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Glucose [Moles/volume] in Arterial blood",mmol/L,2.15,false,Glucose:SCnc:Pt:BldA:Qn:
49134-0,"Glucose^2H post dose glucose",MCnc,Pt,Bld,Qn,,CHAL,2.73,ACTIVE,1,Both,,mg/dL,"Glucose [Mass/volume] in Blood --2 hours post dose glucose",mg/dL,2.21,false,"Glucose^2H post dose glucose:MCnc:Pt:Bld:Qn:"
2339-0,Glucose,MCnc,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Glucose [Mass/volume] in Blood",mg/dL,1.0,false,Glucose:MCnc:Pt:Bld:Qn:
52041-1,"Blood glucose monitors attachment",Find,Pt,^Patient,Doc,,DOC.ADMIN,2.67,ACTIVE,2,Both,,,"Blood glucose monitor attachment",,2.24,false,"Blood glucose monitors attachment:Find:Pt:^Patient:Doc:"
87421-4,Glucose^pre-meal,MCnc,-,Bld,Qn,,CHAL.ROUTINE,2.66,DEPRECATED,1,Both,,mg/dl,"Deprecated Glucose [Mass/volume] in Blood --pre-meal",mg/dL,2.63,false,Glucose^pre-meal:MCnc:-:Bld:Qn:
1557-8,"Glucose^post CFst",MCnc,Pt,BldV,Qn,,CHAL,2.73,ACTIVE,1,Both,,mg/dL,"Fasting glucose [Mass/volume] in Venous blood",mg/dL,1.0,false,"Glucose^post CFst:MCnc:Pt:BldV:Qn:"
101476-0,"Glucose^post CFst",SCnc,Pt,BldV,Qn,,CHAL,2.75,ACTIVE,1,Both,,mmol/L,"Fasting glucose [Moles/volume] in Venous blood",mmol/L,2.74,false,"Glucose^post CFst:SCnc:Pt:BldV:Qn:"
32016-8,Glucose,MCnc,Pt,BldC,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Glucose [Mass/volume] in Capillary blood",mg/dL,2.07,false,Glucose:MCnc:Pt:BldC:Qn:
51596-5,Glucose,SCnc,Pt,BldC,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Glucose [Moles/volume] in Capillary blood",mmol/L,2.24,false,Glucose:SCnc:Pt:BldC:Qn:
47995-6,Glucose,SCnc,Pt,BldCo,Qn,,CHEM,2.70,ACTIVE,1,Both,,nmol/L,"Glucose [Moles/volume] in Cord blood",nmol/L,2.21,false,Glucose:SCnc:Pt:BldCo:Qn:
96594-7,Glucose,MCnc,Pt,Bld.dot,Qn,,CHEM,2.69,ACTIVE,1,Both,,mg/dl,"Glucose [Mass/volume] in DBS",mg/dL,2.69,false,Glucose:MCnc:Pt:Bld.dot:Qn:
88365-2,Glucose^pre-meal,MCnc,Pt,Bld,Qn,,CHAL.ROUTINE,2.64,ACTIVE,1,Both,,mg/dl,"Glucose [Mass/volume] in Blood --pre-meal",mg/dL,2.64,false,Glucose^pre-meal:MCnc:Pt:Bld:Qn:
14743-9,Glucose,SCnc,Pt,BldC,Qn,Glucometer,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Glucose [Moles/volume] in Capillary blood by Glucometer",mmol/L,1.0k,false,Glucose:SCnc:Pt:BldC:Qn:Glucometer
100746-7,Glucose,SCnc,Pt,BldMV,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mmol/L,"Glucose [Moles/volume] in Mixed venous blood",mmol/L,2.73,false,Glucose:SCnc:Pt:BldMV:Qn:
40858-3,Glucose^baseline,MCnc,Pt,BldC,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose [Mass/volume] in Capillary blood --baseline",mg/dL,2.15,false,Glucose^baseline:MCnc:Pt:BldC:Qn:
5914-7,Glucose,PrThr,Pt,Bld,Ord,"Test strip",CHEM,2.56,DISCOURAGED,1,Both,,,"Glucose [Presence] in Blood by Test strip",,1.0b,false,"Glucose:PrThr:Pt:Bld:Ord:Test strip"
97062-4,"High blood glucose",Hx,Pt,^Patient,Ord,,H&P.HX,2.70,ACTIVE,2,Observation,,,"History of High blood glucose",,2.70,false,"High blood glucose:Hx:Pt:^Patient:Ord:"
41653-7,Glucose,MCnc,Pt,BldC,Qn,Glucometer,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Glucose [Mass/volume] in Capillary blood by Glucometer",mg/dL,2.16,false,Glucose:MCnc:Pt:BldC:Qn:Glucometer
27353-2,"Estimated average glucose",MCnc,Pt,Bld,Qn,"Estimated from glycated hemoglobin",CHEM,2.73,ACTIVE,1,Observation,,mg/dL,"Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin",mg/dL,2.00,false,"Estimated average glucose:MCnc:Pt:Bld:Qn:Estimated from glycated hemoglobin"
53553-4,"Estimated average glucose",SCnc,Pt,Bld,Qn,"Estimated from glycated hemoglobin",CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Glucose mean value [Moles/volume] in Blood Estimated from glycated hemoglobin",mmol/L,2.26,false,"Estimated average glucose:SCnc:Pt:Bld:Qn:Estimated from glycated hemoglobin"
