LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
8337-8,"Body weight special circumstances",Type,Pt,^Patient,Nom,,BDYWGT.ATOM,2.64,ACTIVE,2,,,,"Body weight special circumstances",,1.0h(2),false,"Body weight special circumstances:Type:Pt:^Patient:Nom:"
50064-5,"Body weight ideal",Mass,Pt,^Patient,Qn,,BDYWGT.ATOM,2.73,ACTIVE,2,Observation,,kg,"Ideal body weight",[lb_av];kg,2.22,false,"Body weight ideal:Mass:Pt:^Patient:Qn:"
8341-0,"Dry body weight",Mass,Pt,^Patient,Qn,Measured,BDYWGT.MOLEC,2.73,ACTIVE,2,,,kg;lb,"Dry body weight Measured",kg;[lb_av],1.0h(2),false,"Dry body weight:Mass:Pt:^Patient:Qn:Measured"
29463-7,"Body weight",Mass,Pt,^Patient,Qn,,BDYWGT.ATOM,2.73,ACTIVE,2,Observation,,pounds;kilograms,"Body weight",[lb_av];kg,2.03,false,"Body weight:Mass:Pt:^Patient:Qn:"
8335-2,"Body weight",Mass,Pt,^Patient,Qn,Estimated,BDYWGT.ATOM,2.73,ACTIVE,2,,,kg;lb,"Body weight Estimated",[lb_av];kg,1.0h(2),false,"Body weight:Mass:Pt:^Patient:Qn:Estimated"
3141-9,"Body weight",Mass,Pt,^Patient,Qn,Measured,BDYWGT.ATOM,2.73,ACTIVE,2,Both,,gm;kg;lb-oz,"Body weight Measured",[lb_av];kg,1.0,false,"Body weight:Mass:Pt:^Patient:Qn:Measured"
3142-7,"Body weight",Mass,Pt,^Patient,Qn,Stated,BDYWGT.ATOM,2.73,ACTIVE,2,,,gm;lb-oz,"Body weight Stated",[lb_av];kg,1.0,false,"Body weight:Mass:Pt:^Patient:Qn:Stated"
91557-9,"Lean body weight",Mass,Pt,^Patient,Qn,,BDYWGT.ATOM,2.66,ACTIVE,2,Both,,kg,"Lean body weight",kg,2.66,false,"Lean body weight:Mass:Pt:^Patient:Qn:"
8340-2,"Dry body weight",Mass,Pt,^Patient,Qn,Estimated,BDYWGT.MOLEC,2.48,ACTIVE,2,,,kg;lb,"Dry body weight Estimated",kg;[lb_av],1.0h(2),false,"Dry body weight:Mass:Pt:^Patient:Qn:Estimated"
88334-8,"Lean body weight",Mass,Pt,^Patient,Qn,Calculated,BDYWGT.MOLEC,2.64,ACTIVE,2,Both,,kg,"Lean body weight Calculated",kg,2.64,false,"Lean body weight:Mass:Pt:^Patient:Qn:Calculated"
62297-7,"PhenX - weight - measured weight protocol 021501",-,Pt,^Patient,-,PhenX,PANEL.PHENX,2.66,TRIAL,2,,,,"PhenX - weight - measured weight protocol 021501",,2.34,true,"PhenX - weight - measured weight protocol 021501:-:Pt:^Patient:-:PhenX"
62298-5,"PhenX - weight - self reported weight protocol 021502",-,Pt,^Patient,-,PhenX,PANEL.PHENX,2.66,TRIAL,2,,,,"PhenX - weight - self reported weight protocol 021502",,2.34,true,"PhenX - weight - self reported weight protocol 021502:-:Pt:^Patient:-:PhenX"
8346-9,"Body weight^postoperative",Mass,Pt,^Patient,Qn,Measured,BDYWGT.MOLEC,2.69,ACTIVE,2,,,kg;lb,"Body weight Measured --postoperative",[lb_av];kg,1.0h(2),false,"Body weight^postoperative:Mass:Pt:^Patient:Qn:Measured"
89087-1,"Body weight",Mass,Pt,^Fetus,Qn,Estimated,BDYWGT.ATOM,2.64,DISCOURAGED,2,Both,,lb-oz,"Fetal Body weight Estimated",{lb-oz},2.64,false,"Body weight:Mass:Pt:^Fetus:Qn:Estimated"
8336-0,"Body weight",Prctl,Pt,^Patient,Qn,"Per age",BDYWGT.MOLEC,2.73,ACTIVE,2,,,%,"Body weight [Percentile] Per age",%,1.0h(2),false,"Body weight:Prctl:Pt:^Patient:Qn:Per age"
8342-8,"Lean body weight",Mass,Pt,^Patient,Qn,Immersion,BDYWGT.MOLEC,2.48,ACTIVE,2,,,kg;lb,"Lean body weight estimated by Immersion method",kg;[lb_av],1.0h(2),false,"Lean body weight:Mass:Pt:^Patient:Qn:Immersion"
65488-9,"Did you gain or lose weight without trying, or did you stay about the same weight",Find,Pt,^Patient,Nom,CIDI-SF,PHENX,2.65,ACTIVE,2,,,,"Did you gain or lose weight without trying, or did you stay about the same weight [CIDI-SF]",,2.36,false,"Did you gain or lose weight without trying, or did you stay about the same weight:Find:Pt:^Patient:Nom:CIDI-SF"
8343-6,"Lean body weight",Mass,Pt,^Patient,Qn,"Skin fold",BDYWGT.MOLEC,2.48,ACTIVE,2,,,kg;lb,"Lean body weight estimated by Skin fold method",kg;[lb_av],1.0h(2),false,"Lean body weight:Mass:Pt:^Patient:Qn:Skin fold"
65509-2,"Decreased weight within the last 2W",Find,2W,^Patient,Ord,QIDS,PHENX,2.65,ACTIVE,2,,,,"Decreased weight within the last 2 weeks [QIDS]",,2.36,false,"Decreased weight within the last 2W:Find:2W:^Patient:Ord:QIDS"
8338-6,"Body weight^ante partum",Mass,Pt,^Patient,Qn,Measured,BDYWGT.MOLEC,2.73,ACTIVE,2,,,lb,"Body weight Measured --ante partum",[lb_av];kg,1.0h(2),false,"Body weight^ante partum:Mass:Pt:^Patient:Qn:Measured"
8349-3,"Body weight^preoperative",Mass,Pt,^Patient,Qn,Measured,BDYWGT.MOLEC,2.69,ACTIVE,2,,,kg;lb,"Body weight Measured --preoperative",[lb_av];kg,1.0h(2),false,"Body weight^preoperative:Mass:Pt:^Patient:Qn:Measured"
75292-3,"Body weight^usual",Mass,Pt,^Patient,Qn,Reported,BDYWGT.MOLEC,2.73,ACTIVE,2,Both,,lb,"Body weight - Reported --usual",[lb_av];kg,2.50,false,"Body weight^usual:Mass:Pt:^Patient:Qn:Reported"
76543-8,"Weight management summary report",Find,Pt,{Setting},Doc,{Role},DOC.ONTOLOGY,2.63,ACTIVE,2,Both,,,"Weight management summary report",,2.52,false,"Weight management summary report:Find:Pt:{Setting}:Doc:{Role}"
56092-0,"Body weight^at birth",Mass,Pt,^Patient,Qn,GNWCH,BDYWGT.MOLEC,2.72,ACTIVE,2,,,gm;lb-oz,"Birth weight GNWCH",[lb_av];kg;g,2.29,false,"Body weight^at birth:Mass:Pt:^Patient:Qn:GNWCH"
8339-4,"Body weight^at birth",Mass,Pt,^Patient,Qn,Measured,BDYWGT.MOLEC,2.73,ACTIVE,2,,,g,"Birth weight Measured",[lb_av];kg;g,1.0h(2),false,"Body weight^at birth:Mass:Pt:^Patient:Qn:Measured"
56093-8,"Body weight^at birth",Mass,Pt,^Patient,Qn,NVSS,BDYWGT.MOLEC,2.72,ACTIVE,2,,,gm;lb-oz,"Birth weight NVSS",[lb_av];kg;g,2.29,false,"Body weight^at birth:Mass:Pt:^Patient:Qn:NVSS"
56056-5,"Body weight^at birth",Mass,Pt,^Patient,Qn,Reported,BDYWGT.MOLEC,2.73,ACTIVE,2,,,gm;lb-oz,"Birth weight - Reported",[lb_av];kg,2.29,false,"Body weight^at birth:Mass:Pt:^Patient:Qn:Reported"
69461-2,"Body weight^at delivery",Mass,Pt,^Mother,Qn,,BDYWGT.MOLEC,2.73,ACTIVE,2,,,kg;lb,"Mother's body weight --at delivery",[lb_av];kg,2.38,false,"Body weight^at delivery:Mass:Pt:^Mother:Qn:"
8344-4,"Body weight^post dialysis",Mass,Pt,^Patient,Qn,Measured,BDYWGT.MOLEC,2.73,ACTIVE,2,,,kg;lb,"Body weight Measured --post dialysis",[lb_av];kg,1.0h(2),false,"Body weight^post dialysis:Mass:Pt:^Patient:Qn:Measured"
