LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
3183-1,"Clotting time",Time,Pt,Bld,Qn,"Lee White",COAG,2.44,ACTIVE,1,Both,,s,"Clotting time of Blood by Lee White method",s,1.0,false,"Clotting time:Time:Pt:Bld:Qn:Lee White"
7290-0,"Egg white basophil bound Ab",ACnc,Pt,Bld,Qn,LHR,ALLERGY,2.69,ACTIVE,1,Both,,,"Egg white triggered histamine release [Units/volume] in Blood",[arb'U]/mL,1.0h(2),false,"Egg white basophil bound Ab:ACnc:Pt:Bld:Qn:LHR"
7098-7,"Fraxinus americana basophil bound Ab",ACnc,Pt,Bld,Qn,LHR,ALLERGY,2.69,ACTIVE,1,Both,,,"White Ash triggered histamine release [Units/volume] in Blood",[arb'U]/mL,1.0h(2),false,"Fraxinus americana basophil bound Ab:ACnc:Pt:Bld:Qn:LHR"
7622-4,"Populus alba basophil bound Ab",ACnc,Pt,Bld,Qn,LHR,ALLERGY,2.69,ACTIVE,1,Both,,,"White Poplar triggered histamine release [Units/volume] in Blood",[arb'U]/mL,1.0h(2),false,"Populus alba basophil bound Ab:ACnc:Pt:Bld:Qn:LHR"
7537-4,"Quercus alba basophil bound Ab",ACnc,Pt,Bld,Qn,LHR,ALLERGY,2.69,ACTIVE,1,Both,,,"White Oak triggered histamine release [Units/volume] in Blood",[arb'U]/mL,1.0h(2),false,"Quercus alba basophil bound Ab:ACnc:Pt:Bld:Qn:LHR"
7301-5,"Ulmus americana basophil bound Ab",ACnc,Pt,Bld,Qn,LHR,ALLERGY,2.69,ACTIVE,1,Both,,,"White Elm triggered histamine release [Units/volume] in Blood",[arb'U]/mL,1.0h(2),false,"Ulmus americana basophil bound Ab:ACnc:Pt:Bld:Qn:LHR"
48705-8,Leukocytes+Platelets,Morph,Pt,Bld,Nom,,HEM/BC,2.73,ACTIVE,1,Observation,,,"Leukocytes+Platelets [Morphology] in Blood",,2.21,false,Leukocytes+Platelets:Morph:Pt:Bld:Nom:
58407-8,"Leukocyte morphology panel",-,Pt,Bld,-,,PANEL.HEM/BC,2.73,DISCOURAGED,1,Order,,,"Leukocyte morphology panel - Blood",,2.30,true,"Leukocyte morphology panel:-:Pt:Bld:-:"
48226-5,"Egg white leukotriene release",MCnc,Pt,WBC,Qn,,ALLERGY,2.70,ACTIVE,1,Both,,"pg/mL sLT","Egg white triggered leukotriene release [Mass/volume] by Leukocytes",pg/mL{sLT},2.21,false,"Egg white leukotriene release:MCnc:Pt:WBC:Qn:"
48247-1,"Quercus alba leukotriene release",MCnc,Pt,WBC,Qn,,ALLERGY,2.70,ACTIVE,1,Both,,"pg/mL sLT","White Oak triggered leukotriene release [Mass/volume] by Leukocytes",pg/mL{sLT},2.21,false,"Quercus alba leukotriene release:MCnc:Pt:WBC:Qn:"
30157-2,"Heterophils/100 leukocytes",NFr,Pt,Bld,Qn,,HEM/BC,2.67,ACTIVE,1,Observation,,%,"Heterophils/100 leukocytes in Blood",%,2.04,false,"Heterophils/100 leukocytes:NFr:Pt:Bld:Qn:"
26446-5,"Blasts/100 leukocytes",NFr,Pt,Bld,Qn,,HEM/BC,2.73,ACTIVE,1,Observation,,%,"Blasts/100 leukocytes in Blood",%,2.00,false,"Blasts/100 leukocytes:NFr:Pt:Bld:Qn:"
11156-7,"Leukocyte morphology finding",Prid,Pt,Bld,Nom,,HEM/BC,2.73,ACTIVE,1,Observation,,,"Leukocyte morphology finding [Identifier] in Blood",,1.0j-a,false,"Leukocyte morphology finding:Prid:Pt:Bld:Nom:"
68378-9,"Leukocytes.disintegrated/100 leukocytes",NFr,Pt,Bld,Qn,,HEM/BC,2.70,ACTIVE,1,Observation,,%,"Leukocytes.disintegrated/100 leukocytes in Blood",%,2.38,false,"Leukocytes.disintegrated/100 leukocytes:NFr:Pt:Bld:Qn:"
34922-5,"Lymphoblasts/100 leukocytes",NFr,Pt,Bld,Qn,,HEM/BC,2.70,ACTIVE,1,Observation,,%,"Lymphoblasts/100 leukocytes in Blood",%,2.11,false,"Lymphoblasts/100 leukocytes:NFr:Pt:Bld:Qn:"
30180-4,"Basophils/100 leukocytes",NFr,Pt,Bld,Qn,,HEM/BC,2.73,ACTIVE,1,Observation,,%,"Basophils/100 leukocytes in Blood",%,2.04,false,"Basophils/100 leukocytes:NFr:Pt:Bld:Qn:"
30395-8,"Granulocytes/100 leukocytes",NFr,Pt,Bld,Qn,,HEM/BC,2.73,ACTIVE,1,Observation,,%,"Granulocytes/100 leukocytes in Blood",%,2.04,false,"Granulocytes/100 leukocytes:NFr:Pt:Bld:Qn:"
19252-6,"Megakaryocytes/100 leukocytes",NFr,Pt,Bld,Qn,,HEM/BC,2.73,ACTIVE,1,Observation,,%,"Megakaryocytes/100 leukocytes in Blood",%,1.0l,false,"Megakaryocytes/100 leukocytes:NFr:Pt:Bld:Qn:"
